baitID	oeID	naive	day1	day3	day5	day7	day10	day14	primed	DE	NE	dtw_trans_cl3	dtw_trans_cl4	dtw_trans_cl5	dtw_trans_cl6	dtw_trans_cl7	dtw_trans_cl8
161	179	2.4377747205079	1.3074120185278	1.39385408457282	0.99556375233528	1.00062793657652	0.648581515597455	1.68571217148292	0.882273141845749	0	2.4903750726319	3	3	1	3	5	5
254	236	1.84913617041404	0	1.47278422485963	0	0.581271115698149	0.615295666266728	0	0.499448846750986	0	2.40253384603221	2	2	5	5	3	7
185	257	0	2.37169327450041	1.06102926081412	1.00797125318404	0	0	1.11348709058831	0	1.9677757148676	1.2299426666451	1	4	5	5	1	4
198	269	1.90601767774601	2.35033353222675	0	0	0	0	0	0	0	0	1	1	5	4	3	7
203	288	1.96533248191051	0	2.59688266680984	0	0	0	0	0	0	1.91100001316003	2	2	5	5	4	7
759	517	0	0	0	2.34978817723308	0	0	0	0	0	0	2	1	5	5	4	4
651	694	0	0	0	0	0	0	2.41412308741415	0	1.36662027033378	1.25414598591501	2	2	3	2	1	3
789	694	0	0	0	2.63157219885428	0	0	0	0	0	0	2	2	5	5	4	4
759	728	2.8785633768974	2.39200000217514	1.64852940339735	1.80512028516898	1.37710770495012	2.12534919887965	0.617738500331983	1.81603795020966	1.38412281331403	1.89297841943845	3	3	1	3	5	1
1275	1233	0	0	1.04994851985768	2.40947437825463	1.06569019277957	1.73270072158764	0	0	1.12473217407609	0	1	2	5	5	4	8
1336	1258	0	2.48717635346857	0	0	0	0	0	0	0	0	2	2	5	5	4	4
1380	1260	0	0	2.54672013694131	0	0	0	0	0	0	0	2	2	5	5	4	4
1276	1318	0	2.82659802482602	0.78274563737192	0	0.88987733970835	1.97847745912972	0	2.24875162888096	0	1.75565079724145	2	2	5	5	1	4
1276	1327	0	2.57909680534026	1.96265480115673	0.97344161078009	2.39150700831892	1.67191882634561	0.944183819353092	2.04214708025339	0.921664628688701	0.815686674441487	2	4	1	5	1	1
1392	1327	1.02428106838145	0	1.66430133898473	2.33606375103026	1.0528794158294	1.74639270686163	0	0	1.73476227935364	1.69077968633829	1	2	5	5	3	7
1381	1331	0	0	0	0	2.5025496627991	0	1.27935980136622	0	0	1.25161486294546	2	1	5	5	4	4
1314	1355	0.685365930487943	2.08386329174103	0.723596032266483	2.10634854034568	0.67628409694618	0	2.40300551300497	0.69621835318785	1.4712796283036	1.27849908074846	3	4	3	6	2	2
1380	1355	1.56118269152543	0	0.941813664922565	0.945418181139737	2.36955755021503	0	0	1.00546496897277	0	0	2	2	5	4	3	7
1260	1380	0	0	2.64718539369988	0	0	0	0	0	0	0	2	2	5	5	4	4
1314	1385	1.02351239918612	0	0	0	2.45302108007838	0	0	0	0	0	2	2	5	5	4	8
1340	1385	0.888090444416103	2.26460149013646	2.29407191881871	1.69266269041544	2.19516757225707	0.820731285889002	2.5175982225805	1.50680147910204	1.27619456844708	1.46941374108162	3	3	2	3	7	1
1350	1385	0	2.14803271031677	2.74369998190984	1.07733660442079	0	0	1.17718530525979	0	0	1.00017073875768	1	1	5	5	1	4
1354	1385	2.0751831563005	2.33615437030334	1.43114302010399	1.85671750212741	0.981861868297536	0	0.993368339098888	2.29009871495654	0.974192574821593	0.920996155482545	3	3	1	4	5	6
1392	1385	0.21004130253868	1.94423271802019	1.10515643177453	1.43143402993235	0.645812309353937	1.02315034883989	1.34326989254267	0.875645961662348	1.78412622519163	2.425385891696	3	3	4	1	1	1
1336	1402	0	0	2.4542279305534	1.18033335312669	0	0	0	2.40024668021459	0	1.74463607084599	2	2	5	5	4	4
1340	1402	2.54711656523894	2.31147104886234	2.71564161809287	3.07960179262687	2.23074159892636	2.65430447354799	2.73146896428818	2.29049715107156	2.28601433632326	0.857587671461506	3	3	2	3	6	5
1354	1402	1.02329168641708	2.38128321832954	2.22871454029899	1.47206274805473	1.01307500669602	0.99468038365599	1.70042980122882	0	0	1.61081354422528	3	3	1	3	5	1
1340	1411	0.975150027077495	1.4076063859955	2.94240189441482	1.8159523742729	0.905782580663782	0	2.18959149108226	0	0.764458335069416	0	3	3	3	2	7	2
1445	1411	0	0.935963506098805	1.32932901578502	1.60975318498534	0.965959850740152	0.866029912588013	2.41760140365947	0.826997878313691	0	1.68261245633843	3	2	4	1	2	3
1340	1414	0.985906909020267	1.41875045053036	0.803138268588916	0.769854415518936	0	1.57260189985374	1.89145641559405	1.61677863037005	1.38992985302054	2.32363479475279	3	4	3	6	2	2
1354	1414	1.09772833614988	0	2.33116456924548	2.00709726888145	0	1.07237141201476	0	0	1.06786600677836	0	2	1	5	5	4	8
1445	1427	0.597188443331636	0.745415071442336	0.538644311962895	0.452077717603303	2.38204137963637	2.23953581194402	0.623885334333006	0.659765928683889	0	0.514514516218026	3	3	4	5	7	1
1340	1438	0	2.3142143370975	0	1.98166122017752	2.14315632846833	0	0.899801192574365	1.03406992959823	0	0.988593036384288	2	1	5	5	4	4
1380	1438	0	0	0	0	0	2.34158215633092	0	1.13920682568108	0	1.04150752070912	2	1	5	5	4	4
1445	1440	0.423043885628641	0.894239307239143	1.66738925190248	0.695783191958129	2.40049337471075	1.68300611325328	1.43266894279783	1.98248023039788	1.2866974827842	2.06877552624171	3	3	4	1	5	1
1657	1694	0	2.43793663736227	0	0	0	1.03108257003151	0	0	0	0.951458659789462	2	1	5	5	4	4
1793	1708	2.4555966295659	0	0	0	0	1.16211494079725	0	0	1.20577792653334	1.15178341736054	1	1	5	4	3	6
1795	1728	0	0	1.91528757438101	1.75235188730225	1.09228059516045	1.16536111696687	1.10943494660606	2.43516993307709	1.03969093522542	1.73247855968633	1	4	4	1	1	2
